Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature_0_to_7cm,Max of soil_moisture_0_to_7cm, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
2,64.1722,-134.973,478,33.4,0.05,0.05,16.29,D1,0.956,1.093,1.093,5.99045,313,18.04
2,66.2377,-139.051,479,27.4,0.07,0.07,19.56,D1,1.052,1.238,1.238,6.91175,391,18.04
1,66.2472,-139.017,480,26.8,0.092,0.092,19.56,D1,1.052,1.238,1.238,6.91175,391,18.04
2,66.431,-136.725,481,26.2,0.111,0.111,16.53,D1,0.884,1.163,1.163,3.78684,308,18.04
2,66.0511,-135.58,482,27.1,0.056,0.056,12.61,D1,0.549,1.112,1.112,6.30521,183,18.04
1,65.876,-137.414,483,26.9,0.099,0.099,22.14,M2_25,2.743,1.81,1.81,0.943757,1489,18.04
2,65.4404,-136.052,484,29.6,0.054,0.054,21.55,C1,0.611,1.384,1.384,1.384,254,18.04
2,65.4481,-136.022,485,27,0.078,0.078,24.08,C1,0.969,1.401,1.401,1.401,407,18.04
1,65.6962,-135.04,486,30.9,0.053,0.053,23.38,M1_65,5.442,2.809,2.91969,0.734205,4767,15.35
1,65.419,-133.406,487,31.8,0.05,0.05,20.2,O1a,0,0.35,0.35,0.35,0,15.35
1,65.6773,-135.006,488,30.9,0.053,0.053,23.38,M1_65,5.352,2.808,3.02462,0.735059,4856,15.35
1,65.6604,-135.021,489,30.9,0.053,0.053,23.4,M1_65,5.432,2.809,2.91732,0.734546,4754,15.35
1,65.6677,-134.992,490,30.9,0.053,0.053,23.4,M1_65,5.432,2.809,2.93558,0.734546,4784,15.35
1,65.6749,-134.962,491,30.9,0.053,0.053,23.46,M1_50,4.509,2.467,2.47553,0.725072,3349,15.35
1,65.6508,-135.007,492,29.4,0.065,0.065,24.23,M1_65,5.723,2.829,2.99974,0.704365,5150,15.35
1,65.6581,-134.978,493,30.9,0.053,0.053,23.4,M1_65,5.432,2.809,2.87502,0.734546,4685,15.35
2,65.6339,-135.023,494,29.4,0.065,0.065,24.33,M1_65,5.778,2.833,2.97876,0.699396,5163,15.35
2,65.6169,-135.039,495,29.4,0.065,0.065,24.27,M1_50,4.766,2.477,2.47851,0.707759,3544,15.35
2,65.6243,-135.009,496,29.4,0.065,0.065,24.42,M1_65,5.831,2.838,2.96882,0.691955,5193,15.35
2,64.411,-145.72,497,20.5,0.318,0.318,22.1,M2_50,2.92264,2.68421,2.68421,0.448221,2353,16.43
2,64.39,-145.777,498,20.5,0.315,0.315,22.1,M2_50,2.92264,2.68421,2.68421,0.448221,2353,16.43
2,63.5733,-133.881,499,28.2,0.096,0.096,24.4,M1_50,5.109,2.358,2.39713,0.937266,3674,8.65
