Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature,Max of soil_moisture, fwi, fuel, ros, sfc, tfc, bfc, hfi,estarea
1,65.9292,-130.103,664,30.6,29.3,0.188,20.99,C1,0.333,1.355,1.355,1.355,135,8.54
1,65.9245,-130.127,665,30.6,29.3,0.188,20.99,C1,0.333,1.355,1.355,1.355,135,8.54
0,66.0201,-130.045,666,30.3,28.6,0.257,21.49,C1,0.353,1.365,1.365,1.365,145,8.54
1,66.0274,-130.171,667,30.2,28.6,0.256,21.41,C1,0.338,1.363,1.363,1.363,138,8.54
1,66.0226,-130.195,668,30.2,28.6,0.256,21.22,C1,0.326,1.359,1.359,1.359,133,8.54
1,66.0463,-130.199,669,30.1,27.4,0.388,21.49,C1,0.341,1.363,1.363,1.363,139,8.54
1,66.0725,-130.232,670,30.1,27.4,0.388,21.58,C1,0.339,1.364,1.364,1.364,139,8.54
0,66.0678,-130.255,671,30,27.5,0.399,21.43,C1,0.33,1.361,1.361,1.361,135,8.54
0,66.063,-130.279,672,30,27.5,0.399,21.43,C1,0.33,1.361,1.361,1.361,135,8.54
1,67.2627,-129.93,673,27.3,24.1,0.189,17.59,C1,0.055,1.28,1.28,1.28,21,8.54
1,67.2669,-129.963,674,27.6,24.5,0.18,16.86,C1,0.045,1.256,1.256,1.256,17,8.54
1,64.987,-121.589,675,22,23,0.195,29.66,M1_65,7.63,3.042,3.23762,0.450903,7411,8.54
1,64.9926,-121.616,676,22,23,0.195,30.03,M1_65,7.819,3.05,3.5762,0.443095,8389,8.54
1,64.9898,-121.636,677,22,23,0.195,30.03,M1_65,7.819,3.05,3.2157,0.443095,7543,8.54
1,64.9983,-121.643,678,22,23,0.195,30.03,M1_65,7.819,3.05,3.67535,0.443095,8621,8.54
1,65.7247,-127.721,679,28.4,27.9,0.087,20.46,M1_65,4.499,2.682,2.72674,0.942309,3680,8.54
0,64.7215,-121.243,680,23,23.4,0.45,26.75,M1_65,6.554,2.93,3.05945,0.572209,6015,8.54
1,64.1625,-125.535,681,25,25.6,0.149,18.81,M1_65,4.465,2.319,2.319,1.88871,3106,8.54
0,64.6443,-124.845,682,26.2,26.5,0.221,24.97,M1_50,4.885,2.524,2.53641,0.631597,3717,8.54
0,64.6409,-124.865,683,26.5,26.9,0.213,24.97,M1_50,4.885,2.524,2.54886,0.631597,3735,8.54
0,64.6375,-124.885,684,26.5,26.9,0.213,24.85,M1_65,5.891,2.878,3.14383,0.638013,5556,8.54
1,64.651,-124.856,685,26.5,26.9,0.213,24.97,M1_50,4.885,2.524,2.53643,0.631597,3717,8.54
1,64.6476,-124.877,686,26.5,26.9,0.213,24.97,M1_50,4.885,2.524,2.58776,0.631597,3792,8.54
1,64.6365,-125.173,687,26,26.7,0.169,22.89,M1_65,5.269,2.789,2.87905,0.763478,4551,8.54
1,64.645,-125.181,688,26,26.7,0.169,22.89,M1_65,5.269,2.789,2.94563,0.763478,4656,8.54
1,64.838,-124.85,689,27,27.6,0.175,25.27,M1_35,3.902,2.174,2.174,0.615009,2545,8.54
1,64.7196,-125.646,690,26.2,26.5,0.233,21.49,M1_35,3.138,2.065,2.065,0.850453,1944,8.54
1,64.8787,-124.894,691,27.1,28.1,0.123,25.06,M1_35,3.857,2.168,2.168,0.626228,2509,8.54
1,64.7717,-125.577,692,27.2,27.4,0.213,23.19,M1_50,4.42,2.458,2.4594,0.7409,3261,8.54
1,64.7802,-125.585,693,27.2,27.4,0.213,23.19,M1_50,4.42,2.458,2.45897,0.7409,3261,8.54
1,64.778,-125.655,694,27.4,27.5,0.215,23.02,M1_50,4.403,2.451,2.45503,0.753839,3243,8.54
0,65.3704,-125.328,695,26,26.4,0.229,22.67,M1_65,5.339,2.775,2.88948,0.785707,4628,8.54
1,65.6344,-126.809,696,26.4,27.1,0.107,22.67,M1_50,4.285,2.441,2.441,0.771277,3138,8.54
1,65.6391,-126.839,697,26.4,27.1,0.107,22.24,M1_50,4.816,2.428,2.46261,0.796872,3558,8.54
