Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature,Max of soil_moisture, fwi, fuel, ros, sfc, tfc, bfc, hfi,estarea
0,65.4375,-133.4,851,26.2,31.8,0.05,20.2,O1a,0,0.35,0.35,0.35,0,15.35
0,65.4284,-133.419,852,26.2,31.8,0.05,20.2,O1a,0,0.35,0.35,0.35,0,15.35
1,64.7251,-118.868,853,19.7,21.4,0.33,24.49,O1a,0,0.35,0.35,0.35,0,8.54
1,64.7225,-118.889,854,19.7,21.4,0.33,24.49,O1a,0,0.35,0.35,0.35,0,8.54
1,64.6882,-125.61,855,26.2,26.5,0.233,20.34,O1a,0,0.35,0.35,0.35,0,8.54
1,64.6847,-125.63,856,26.2,26.5,0.233,20.34,O1a,0,0.35,0.35,0.35,0,8.54
1,65.6328,-129.462,857,29.8,27.4,0.19,20.8,O1a,0.009,0.35,0.35,0.35,1,8.54
1,65.669,-129.334,858,30.4,29.6,0.186,20.81,O1a,0,0.35,0.35,0.35,0,8.54
1,66.0796,-130.359,859,30,27.5,0.405,21.35,O1a,0,0.35,0.35,0.35,0,8.54
1,66.1712,-130.635,860,30.1,27.3,0.396,21.05,O1a,0,0.35,0.35,0.35,0,8.54
1,63.7936,-137.851,861,24.2,24,0.196,30.63,O1a,0,0.35,0.35,0.35,0,8.65
1,63.8047,-137.867,862,24.2,24,0.196,30.63,O1a,0,0.35,0.35,0.35,0,8.65
0,63.6908,-140.35,863,22.4,21.9,0.306,32.93,O1a,0,0.35,0.35,0.35,0,8.65
1,62.8716,-115.567,864,20.5,20.6,0.201,28.98,O1a,0.006,0.35,0.35,0.35,1,5.87
1,62.874,-115.546,865,20.5,20.6,0.201,28.98,O1a,0.006,0.35,0.35,0.35,1,5.87
1,65.9628,-129.881,866,30.2,29,0.378,21.67,O1a,0,0.35,0.35,0.35,0,8.54
1,64.0876,-125.745,867,24.5,23.4,0.184,14.13,D2,0.737,1,1,9.76468,221,8.54
1,61.8381,-135.152,868,22,21.2,0.136,22.39,D1,1.763,1.149,1.149,7.53882,608,8.65
1,61.8344,-135.155,869,21.8,21.6,0.141,22.39,D1,1.763,1.149,1.149,7.53882,608,8.65
0,62.6825,-136.009,870,23.9,22.1,0.266,20.08,D1,1.403,1.085,1.085,8.08717,457,8.65
1,63.7924,-133.84,871,27,33.3,0.054,21.88,D1,1.278,1.253,1.253,5.48397,480,8.65
0,62.9259,-137.856,872,23,21.3,0.275,22.08,D1,2.005,1.083,1.083,6.92568,651,8.65
1,65.6819,-135.995,873,28.2,26,0.091,23.15,D1,1.291,1.283,1.283,5.41016,497,15.35
0,65.6844,-134.982,874,31.2,30.9,0.053,23.18,D1,1.259,1.304,1.304,5.31633,493,15.35
1,65.5345,-135.371,875,29,28.9,0.059,22.67,D1,1.435,1.274,1.274,5.60417,548,15.35
1,65.5248,-135.357,876,29,28.9,0.059,22.67,D1,1.435,1.274,1.274,5.60417,548,15.35
1,67.3011,-129.926,877,27.3,24.1,0.189,17.35,D1,0.539,1.44,1.44,1.44,233,8.54
1,67.2777,-130.214,878,28.1,25.4,0.158,17.06,D1,0.554,1.441,1.441,1.441,239,8.54
1,67.4014,-130.206,879,28,26.9,0.128,18.22,D1,0.581,1.442,1.442,1.442,251,8.54
1,67.7166,-129.766,880,28,27.2,0.125,18.67,D1,0.652,1.393,1.393,2.22033,272,8.54
1,67.5733,-130.531,881,28.1,26.8,0.136,17.09,D1,0.536,1.41,1.41,1.41,227,8.54
0,67.5688,-130.555,882,28.5,28.7,0.104,17.09,D1,0.536,1.41,1.41,1.41,227,8.54
1,64.4651,-115.281,883,19.5,19.9,0.183,25.81,D1,1.74,1.27,1.27,8.78606,663,5.87
0,62.5705,-132.426,884,21.2,23,0.195,16.91,D1,1.175,1.173,1.173,7.2411,413,8.65
0,62.5663,-132.427,885,21.2,23,0.195,16.91,D1,1.175,1.173,1.173,7.2411,413,8.65
1,62.0771,-134.45,886,19.6,22.9,0.172,13.82,D1,0.767,1.02,1.02,7.4643,235,8.65
1,62.0698,-134.585,887,20.4,24.1,0.115,14.63,D1,1.088,1.033,1.033,7.7695,337,8.65
1,62.0599,-134.621,888,20.4,24.1,0.115,15.05,D1,0.905,1.041,1.041,7.74552,283,8.65
1,62.0812,-134.598,889,20.4,24.1,0.115,13.07,D1,1.105,0.985,0.985,7.94631,327,8.65
1,62.0717,-134.633,890,20.4,24.1,0.115,12.27,D1,0.686,0.955,0.955,8.04374,197,8.65
1,62.0924,-134.612,891,20.4,24.1,0.115,13.07,D1,1.105,0.985,0.985,7.94631,327,8.65
0,62.3252,-135.662,892,22.6,22.1,0.159,19.64,D1,1.471,1.048,1.048,8.44189,462,8.65
0,62.9247,-133.943,893,23.7,24.8,0.183,15.23,D1,0.941,1.081,1.081,7.1859,305,8.65
1,65.3947,-136.902,894,27.5,34.2,0.046,22.43,D1,1.296,1.226,1.226,5.46598,477,18.04
1,64.1932,-134.999,895,23.9,33.4,0.05,16.81,D1,0.958,1.106,1.106,5.92847,318,18.04
1,64.2013,-134.968,896,23.9,33.4,0.05,17.8,D1,1.044,1.13,1.13,5.81923,354,18.04
1,67.0528,-136.435,897,26,24.8,0.105,13.52,D2,0.813,1.059,1.059,3.12156,258,18.04
0,65.8967,-138.143,898,28.5,26.5,0.083,23,D2,1.415,1.263,1.263,5.96478,536,18.04
1,67.7971,-129.818,899,28,27.2,0.127,17.42,D2,0.661,1.348,1.348,3.56032,267,8.54
1,67.7928,-129.841,900,28,27.2,0.127,17.42,D2,0.661,1.348,1.348,3.56032,267,8.54
1,67.7886,-129.864,901,27.9,26,0.14,16.91,D2,0.585,1.345,1.345,3.5494,236,8.54
1,67.7844,-129.887,902,27.9,26,0.14,16.91,D2,0.585,1.345,1.345,3.5494,236,8.54
1,67.7801,-129.91,903,27.9,26,0.14,17.7,D2,0.612,1.357,1.357,3.32744,249,8.54
1,67.8054,-129.829,904,28,27.2,0.127,17.42,D2,0.661,1.348,1.348,3.56032,267,8.54
1,67.6955,-129.824,905,28,27.2,0.125,18.46,D2,0.643,1.396,1.396,2.05276,269,8.54
1,65.5776,-115.879,906,18.5,19.9,0.186,26.34,D1,1.735,1.287,1.287,9.4137,670,5.87
1,64.2947,-125.89,907,24.6,24.8,0.176,19.38,D1,1.093,1.189,1.189,8.58671,390,8.54
1,64.2911,-125.91,908,24.6,24.8,0.176,17.05,D1,1.134,1.137,1.137,8.92501,387,8.54
1,64.1306,-125.769,909,24.5,23.9,0.192,16.62,D1,1.02,1.083,1.083,9.31667,331,8.54
1,64.1553,-125.744,910,25.2,25.6,0.161,17.71,D1,1.101,1.116,1.116,9.308,369,8.54
1,64.1639,-125.753,911,25.2,25.6,0.161,18.15,D1,1.124,1.131,1.131,9.19064,381,8.54
1,64.458,-115.251,912,19.5,20,0.175,26.39,D1,1.8,1.278,1.278,8.68915,690,5.87
1,64.446,-115.27,913,19.5,19.9,0.183,26.29,D1,1.806,1.274,1.274,8.78482,690,5.87
1,64.4484,-115.245,914,19.5,20,0.175,26.39,D1,1.8,1.278,1.278,8.68915,690,5.87
0,63.5154,-121.414,915,22.1,22.6,0.575,15.66,D1,1.076,0.998,0.998,9.67512,322,8.54
1,65.9622,-129.938,916,30.2,29,0.378,21.57,D1,1.069,1.312,1.312,4.28788,421,8.54
1,65.9453,-129.859,917,30.2,29,0.378,21.62,D1,1.092,1.309,1.309,4.34662,429,8.54
1,65.9117,-130.082,918,30.6,29.3,0.188,20.83,D1,1.02,1.304,1.304,4.49808,399,8.54
1,64.0539,-137.917,919,24.2,29.6,0.069,31.2,D1,0,0,0,2.93501,0,8.65
1,65.4498,-136.069,920,28.4,27.1,0.072,23.02,D1,0,0,0,5.30526,0,18.04
1,65.152,-116.105,921,20,21.7,0.148,26.11,D1,0,0,0,8.88231,0,5.87
1,64.2154,-134.946,922,24.2,33.8,0.048,14.19,D1,0,0,0,6.33152,0,18.04
0,64.2098,-134.934,923,24.2,33.8,0.048,14.19,D1,0,0,0,6.33152,0,18.04
1,65.509,-127.128,924,27.1,28.1,0.096,21.64,D2,0,0,0,6.78298,0,8.54
1,64.2819,-144.95,925,20.5,20.7,0.282,22.1,M2_50,2.92264,1.01145,1.01145,0.448221,887,8.47
1,64.3195,-145.646,926,22.5,22,0.307,22.1,M2_50,2.92264,1.01145,1.01145,0.448221,887,16.43
0,65.7156,-135.915,927,28.3,26,0.094,21.46,M1_65,5.191,2.662,2.74359,0.979955,4273,18.04
0,65.7061,-135.9,928,28.3,26,0.094,21.46,M1_65,5.191,2.662,2.75083,0.979955,4284,18.04
1,65.4735,-135.88,929,29.1,27,0.08,23.57,M1_65,6.071,2.707,2.72029,0.898237,4954,18.04
1,65.464,-135.864,930,29.1,27,0.08,23.57,M1_65,6.071,2.707,2.73039,0.898237,4973,18.04
1,62.0918,-134.559,931,20.4,24.1,0.115,12.26,M1_25,1.39,1.321,1.321,4.34657,551,8.65
1,63.0647,-134.044,932,22.7,24.5,0.158,17.56,M2_25,2.6,1.574,1.574,1.99836,1228,8.65
1,64.1306,-137.863,933,24.2,29.6,0.069,24.13,M1_25,5.32,1.543,1.543,2.19591,2463,8.65
1,64.1419,-137.878,934,24.2,29.6,0.069,24.92,M1_25,5.09,1.561,1.561,2.08194,2384,8.65
0,61.8154,-135.123,935,22,21.2,0.136,21.43,M1_50,6.474,2.04,2.27454,1.91678,4418,8.65
0,61.8266,-135.138,936,22,21.2,0.136,21.43,M1_50,6.474,2.04,2.19947,1.91678,4272,8.65
0,65.7235,-127.636,937,28,27.8,0.086,20.28,M1_65,4.517,2.671,2.67811,0.96286,3629,8.54
1,65.4989,-127.014,938,26.7,27.8,0.095,20.89,M1_65,4.547,2.705,2.75608,0.901176,3760,8.54
1,64.0623,-137.937,939,24.2,29.6,0.069,31.2,M1_25,0,0,0,1.23419,0,8.65
1,65.3764,-136.918,940,27.5,34.2,0.046,17.53,M1_25,0,0,0,2.12444,0,18.04
1,65.3416,-134.822,941,27.9,27.3,0.058,20.7,M1_25,0,0,0,1.04404,0,18.04
1,62.5625,-132.459,942,21.5,23,0.207,18.23,C1,0.294,1.343,1.343,1.343,118,8.65
1,62.558,-132.46,943,21.5,23,0.207,18.23,C1,0.294,1.343,1.343,1.343,118,8.65
1,63.0562,-134.131,944,23.5,25,0.165,20.92,C1,0.603,1.372,1.372,1.372,248,8.65
1,63.0208,-134.267,945,23.6,23.4,0.168,22.87,C1,0.798,1.388,1.388,1.388,332,8.65
1,63.0581,-134.178,946,24.2,25.3,0.173,20.92,C1,0.603,1.372,1.372,1.372,248,8.65
1,63.0598,-134.14,947,23.5,25,0.165,20.92,C1,0.603,1.372,1.372,1.372,248,8.65
1,63.0238,-134.276,948,23.6,23.4,0.168,22.87,C1,0.798,1.388,1.388,1.388,332,8.65
1,63.0988,-134.875,949,23.1,22,0.196,18.83,C1,0.418,1.356,1.356,1.356,170,8.65
1,66.0042,-137.584,950,28.5,27,0.093,21.01,C1,0.427,1.38,1.38,1.38,177,18.04
1,66.0131,-137.551,951,28.5,27,0.093,21.01,C1,0.427,1.38,1.38,1.38,177,18.04
1,65.9944,-137.568,952,28.5,27,0.093,21.64,C1,0.477,1.384,1.384,1.384,198,18.04
1,66.0033,-137.535,953,28.5,28.5,0.075,21.01,C1,0.427,1.38,1.38,1.38,177,18.04
1,65.9898,-137.605,954,28.5,27,0.093,21.64,C1,0.477,1.384,1.384,1.384,198,18.04
1,65.9988,-137.571,955,28.5,27,0.093,21.01,C1,0.427,1.38,1.38,1.38,177,18.04
1,66.0737,-135.705,956,26.4,28,0.053,15.7,C1,0.138,1.322,1.322,1.322,55,18.04
1,66.0812,-135.675,957,26.4,28,0.053,15.7,C1,0.138,1.322,1.322,1.322,55,18.04
1,66.0716,-135.661,958,26.4,28,0.053,15.7,C1,0.138,1.322,1.322,1.322,55,18.04
1,65.6806,-135.947,959,28.3,26,0.094,20.84,C1,0.469,1.38,1.38,1.38,194,15.35
1,65.9628,-116.949,960,20,20.9,0.161,28.91,C1,1.598,1.323,1.35511,1.323,650,5.87
1,65.9545,-116.837,961,19.8,20.6,0.169,29.18,C1,1.708,1.328,1.38787,1.328,711,5.87
1,65.3646,-116.641,962,20,21.5,0.146,25.74,C1,1.226,1.329,1.329,1.329,489,5.87
1,64.8503,-119.658,963,20.5,21.8,0.316,23.93,C1,0.703,1.311,1.311,1.311,276,8.54
0,65.8869,-129.934,964,30.5,29.4,0.191,20.94,C1,0.326,1.356,1.356,1.356,133,8.54
1,66.8605,-129.564,965,27.7,28.5,0.214,19.14,C1,0.117,1.315,1.315,1.315,46,8.54
1,66.8279,-129.93,966,28.8,28.4,0.263,20.08,C1,0.128,1.328,1.328,1.328,51,8.54
1,66.9542,-129.488,967,27.2,27,0.265,18.44,C1,0.087,1.293,1.293,1.293,34,8.54
0,64.3057,-114.713,968,19.1,19.5,0.189,29.26,C1,1.454,1.353,1.37037,1.353,598,5.87
1,62.8863,-115.832,969,20.5,21,0.144,28.85,C1,1.082,1.339,1.339,1.339,435,5.87
1,67.2769,-132.312,970,31,29.9,0.125,19.14,C1,0.192,1.327,1.327,1.327,76,8.54
1,67.2718,-132.337,971,31,29.9,0.125,19.11,C1,0.192,1.327,1.327,1.327,76,8.54
1,64.7793,-119.918,972,19.9,20.5,0.386,24.29,C1,0.71,1.31,1.31,1.31,279,8.54
1,64.7906,-119.904,973,19.9,20.5,0.386,24.29,C1,0.71,1.31,1.31,1.31,279,8.54
1,65.9856,-137.408,974,28.9,30,0.054,20.78,C1,0.396,1.379,1.379,1.379,164,18.04
1,65.9758,-137.392,975,28.9,30,0.054,20.78,C1,0.396,1.379,1.379,1.379,164,18.04
0,67.0695,-132.267,976,30,26.9,0.169,18.57,C1,0.149,1.311,1.311,1.311,59,8.54
1,67.2054,-131.88,977,29.6,26.9,0.152,17.78,C1,0.104,1.282,1.282,1.282,40,8.54
1,64.8477,-119.679,978,20.5,21.8,0.316,23.98,C1,0.708,1.311,1.311,1.311,278,8.54
1,65.5298,-126.615,979,26,25.5,0.143,19.04,C1,0.288,1.233,1.233,1.233,107,8.54
0,65.5186,-126.678,980,26,25.1,0.135,16.83,C1,0.19,1.163,1.163,1.163,66,8.54
1,65.9252,-130.069,981,30.6,29.3,0.188,21.15,C1,0.328,1.358,1.358,1.358,134,8.54
1,65.9204,-130.092,982,30.6,29.3,0.188,20.92,C1,0.32,1.354,1.354,1.354,130,8.54
1,65.8057,-116.864,983,20,21.4,0.159,28.54,C1,0,0,0,1.16183,0,5.87
1,65.6458,-126.744,984,26.4,27,0.111,21.47,D1,0,0,0,6.84567,0,8.54
1,64.8817,-125.109,985,27.5,28.4,0.142,24.68,D1,0,0,0,6.6659,0,3.484
1,64.422,-118.959,986,19.9,21.3,0.436,25.28,C1,0,0,0,1.19337,0,8.54
1,65.5129,-127.106,987,27.1,28.1,0.096,21.23,D2,0,0,0,6.82918,0,8.54
1,65.5035,-127.045,988,27.1,28.1,0.096,21.61,D1,0,0,0,6.77282,0,8.54
1,65.5082,-127.076,989,27.1,28.1,0.096,21.23,D1,0,0,0,6.82918,0,8.54
1,65.9691,-137.523,990,28.5,28.5,0.075,21.02,C2,0,0,0,7.16602,0,18.04
1,64.4308,-118.965,991,19.9,21.3,0.436,25.28,D1,0,0,0,7.40459,0,8.54
1,63.5228,-135.933,992,24.8,25.6,0.139,18,C1,0.224,1.375,1.375,1.375,92,8.65
1,65.5168,-127.085,993,27.1,28.1,0.096,21.23,C1,0,0,0,1.0844,0,8.54
1,65.0522,-125.362,994,27.4,28.1,0.131,23.97,D1,1.341,1.313,1.313,6.65049,528,8.54
1,64.3574,-146.126,995,21.5,20.8,0.29,18,M2_50,1.91519,2.69523,2.69523,0.434729,1549,16.43
1,68.1829,-132.352,996,28.2,27.3,0.125,14.46,D2,0.73,1.117,1.117,5.02238,245,8.54
1,68.178,-132.377,997,28.2,27.3,0.125,14.56,D2,0.723,1.119,1.119,4.97866,243,8.54
1,68.173,-132.401,998,28.2,27.3,0.125,14.56,D2,0.723,1.119,1.119,4.97866,243,8.54
1,68.1681,-132.426,999,28.2,27.3,0.125,14.9,D2,0.756,1.126,1.126,4.90164,255,8.54
